 tracf=1	  fldr=1	    sx=2000	    gx=525	offset=-1475	   cdp=1	

 tracf=2	  fldr=1	    sx=2000	    gx=575	offset=-1425	   cdp=2	

 tracf=1	  fldr=2	    sx=2050	    gx=575	offset=-1475	   cdp=3	

 tracf=3	  fldr=1	    sx=2000	    gx=625	offset=-1375	   cdp=3	

 tracf=2	  fldr=2	    sx=2050	    gx=625	offset=-1425	   cdp=4	

 tracf=4	  fldr=1	    sx=2000	    gx=675	offset=-1325	   cdp=4	

 tracf=1	  fldr=3	    sx=2100	    gx=625	offset=-1475	   cdp=5	

 tracf=3	  fldr=2	    sx=2050	    gx=675	offset=-1375	   cdp=5	

 tracf=5	  fldr=1	    sx=2000	    gx=725	offset=-1275	   cdp=5	

 tracf=2	  fldr=3	    sx=2100	    gx=675	offset=-1425	   cdp=6	

 tracf=4	  fldr=2	    sx=2050	    gx=725	offset=-1325	   cdp=6	

 tracf=6	  fldr=1	    sx=2000	    gx=775	offset=-1225	   cdp=6	

 tracf=1	  fldr=4	    sx=2150	    gx=675	offset=-1475	   cdp=7	

 tracf=3	  fldr=3	    sx=2100	    gx=725	offset=-1375	   cdp=7	

 tracf=5	  fldr=2	    sx=2050	    gx=775	offset=-1275	   cdp=7	

 tracf=7	  fldr=1	    sx=2000	    gx=825	offset=-1175	   cdp=7	

 tracf=2	  fldr=4	    sx=2150	    gx=725	offset=-1425	   cdp=8	

 tracf=4	  fldr=3	    sx=2100	    gx=775	offset=-1325	   cdp=8	

 tracf=6	  fldr=2	    sx=2050	    gx=825	offset=-1225	   cdp=8	

 tracf=8	  fldr=1	    sx=2000	    gx=875	offset=-1125	   cdp=8	

 tracf=1	  fldr=5	    sx=2200	    gx=725	offset=-1475	   cdp=9	

 tracf=3	  fldr=4	    sx=2150	    gx=775	offset=-1375	   cdp=9	

 tracf=5	  fldr=3	    sx=2100	    gx=825	offset=-1275	   cdp=9	

 tracf=7	  fldr=2	    sx=2050	    gx=875	offset=-1175	   cdp=9	

 tracf=9	  fldr=1	    sx=2000	    gx=925	offset=-1075	   cdp=9	

 tracf=2	  fldr=5	    sx=2200	    gx=775	offset=-1425	   cdp=10	

 tracf=4	  fldr=4	    sx=2150	    gx=825	offset=-1325	   cdp=10	

 tracf=6	  fldr=3	    sx=2100	    gx=875	offset=-1225	   cdp=10	

 tracf=8	  fldr=2	    sx=2050	    gx=925	offset=-1125	   cdp=10	

 tracf=10	  fldr=1	    sx=2000	    gx=975	offset=-1025	   cdp=10	

 tracf=1	  fldr=6	    sx=2250	    gx=775	offset=-1475	   cdp=11	

 tracf=3	  fldr=5	    sx=2200	    gx=825	offset=-1375	   cdp=11	

 tracf=5	  fldr=4	    sx=2150	    gx=875	offset=-1275	   cdp=11	

 tracf=7	  fldr=3	    sx=2100	    gx=925	offset=-1175	   cdp=11	

 tracf=9	  fldr=2	    sx=2050	    gx=975	offset=-1075	   cdp=11	

 tracf=11	  fldr=1	    sx=2000	    gx=1025	offset=-975	   cdp=11	

 tracf=2	  fldr=6	    sx=2250	    gx=825	offset=-1425	   cdp=12	

 tracf=4	  fldr=5	    sx=2200	    gx=875	offset=-1325	   cdp=12	

 tracf=6	  fldr=4	    sx=2150	    gx=925	offset=-1225	   cdp=12	

 tracf=8	  fldr=3	    sx=2100	    gx=975	offset=-1125	   cdp=12	

 tracf=10	  fldr=2	    sx=2050	    gx=1025	offset=-1025	   cdp=12	

 tracf=12	  fldr=1	    sx=2000	    gx=1075	offset=-925	   cdp=12	

 tracf=1	  fldr=7	    sx=2300	    gx=825	offset=-1475	   cdp=13	

 tracf=3	  fldr=6	    sx=2250	    gx=875	offset=-1375	   cdp=13	

 tracf=5	  fldr=5	    sx=2200	    gx=925	offset=-1275	   cdp=13	

 tracf=7	  fldr=4	    sx=2150	    gx=975	offset=-1175	   cdp=13	

 tracf=9	  fldr=3	    sx=2100	    gx=1025	offset=-1075	   cdp=13	

 tracf=11	  fldr=2	    sx=2050	    gx=1075	offset=-975	   cdp=13	

 tracf=13	  fldr=1	    sx=2000	    gx=1125	offset=-875	   cdp=13	

 tracf=2	  fldr=7	    sx=2300	    gx=875	offset=-1425	   cdp=14	

 tracf=4	  fldr=6	    sx=2250	    gx=925	offset=-1325	   cdp=14	

 tracf=6	  fldr=5	    sx=2200	    gx=975	offset=-1225	   cdp=14	

 tracf=8	  fldr=4	    sx=2150	    gx=1025	offset=-1125	   cdp=14	

 tracf=10	  fldr=3	    sx=2100	    gx=1075	offset=-1025	   cdp=14	

 tracf=12	  fldr=2	    sx=2050	    gx=1125	offset=-925	   cdp=14	

 tracf=14	  fldr=1	    sx=2000	    gx=1175	offset=-825	   cdp=14	

 tracf=1	  fldr=8	    sx=2350	    gx=875	offset=-1475	   cdp=15	

 tracf=3	  fldr=7	    sx=2300	    gx=925	offset=-1375	   cdp=15	

 tracf=5	  fldr=6	    sx=2250	    gx=975	offset=-1275	   cdp=15	

 tracf=7	  fldr=5	    sx=2200	    gx=1025	offset=-1175	   cdp=15	

 tracf=9	  fldr=4	    sx=2150	    gx=1075	offset=-1075	   cdp=15	

 tracf=11	  fldr=3	    sx=2100	    gx=1125	offset=-975	   cdp=15	

 tracf=13	  fldr=2	    sx=2050	    gx=1175	offset=-875	   cdp=15	

 tracf=15	  fldr=1	    sx=2000	    gx=1225	offset=-775	   cdp=15	

 tracf=2	  fldr=8	    sx=2350	    gx=925	offset=-1425	   cdp=16	

 tracf=4	  fldr=7	    sx=2300	    gx=975	offset=-1325	   cdp=16	

 tracf=6	  fldr=6	    sx=2250	    gx=1025	offset=-1225	   cdp=16	

 tracf=8	  fldr=5	    sx=2200	    gx=1075	offset=-1125	   cdp=16	

 tracf=10	  fldr=4	    sx=2150	    gx=1125	offset=-1025	   cdp=16	

 tracf=12	  fldr=3	    sx=2100	    gx=1175	offset=-925	   cdp=16	

 tracf=14	  fldr=2	    sx=2050	    gx=1225	offset=-825	   cdp=16	

 tracf=16	  fldr=1	    sx=2000	    gx=1275	offset=-725	   cdp=16	

 tracf=1	  fldr=9	    sx=2400	    gx=925	offset=-1475	   cdp=17	

 tracf=3	  fldr=8	    sx=2350	    gx=975	offset=-1375	   cdp=17	

 tracf=5	  fldr=7	    sx=2300	    gx=1025	offset=-1275	   cdp=17	

 tracf=7	  fldr=6	    sx=2250	    gx=1075	offset=-1175	   cdp=17	

 tracf=9	  fldr=5	    sx=2200	    gx=1125	offset=-1075	   cdp=17	

 tracf=11	  fldr=4	    sx=2150	    gx=1175	offset=-975	   cdp=17	

 tracf=13	  fldr=3	    sx=2100	    gx=1225	offset=-875	   cdp=17	

 tracf=15	  fldr=2	    sx=2050	    gx=1275	offset=-775	   cdp=17	

 tracf=17	  fldr=1	    sx=2000	    gx=1325	offset=-675	   cdp=17	

 tracf=2	  fldr=9	    sx=2400	    gx=975	offset=-1425	   cdp=18	

 tracf=4	  fldr=8	    sx=2350	    gx=1025	offset=-1325	   cdp=18	

 tracf=6	  fldr=7	    sx=2300	    gx=1075	offset=-1225	   cdp=18	

 tracf=8	  fldr=6	    sx=2250	    gx=1125	offset=-1125	   cdp=18	

 tracf=10	  fldr=5	    sx=2200	    gx=1175	offset=-1025	   cdp=18	

 tracf=12	  fldr=4	    sx=2150	    gx=1225	offset=-925	   cdp=18	

 tracf=14	  fldr=3	    sx=2100	    gx=1275	offset=-825	   cdp=18	

 tracf=16	  fldr=2	    sx=2050	    gx=1325	offset=-725	   cdp=18	

 tracf=18	  fldr=1	    sx=2000	    gx=1375	offset=-625	   cdp=18	

 tracf=1	  fldr=10	    sx=2450	    gx=975	offset=-1475	   cdp=19	

 tracf=3	  fldr=9	    sx=2400	    gx=1025	offset=-1375	   cdp=19	

 tracf=5	  fldr=8	    sx=2350	    gx=1075	offset=-1275	   cdp=19	

 tracf=7	  fldr=7	    sx=2300	    gx=1125	offset=-1175	   cdp=19	

 tracf=9	  fldr=6	    sx=2250	    gx=1175	offset=-1075	   cdp=19	

 tracf=11	  fldr=5	    sx=2200	    gx=1225	offset=-975	   cdp=19	

 tracf=13	  fldr=4	    sx=2150	    gx=1275	offset=-875	   cdp=19	

 tracf=15	  fldr=3	    sx=2100	    gx=1325	offset=-775	   cdp=19	

